,Name,Price,Team 1,Position,Round,Team 2,Date,Score,id,pl_pos_id,is_selected
100,Rory Sloane,580000,Crows,MI,10,Demons,Sat 22 May 12:00pm,81.45454545454545,R:10_P:Rory Sloane,R:10_P:Rory Sloane_MI,1
101,Rory Sloane,580000,Crows,MI,12,Magpies,Sat 5 Jun 12:00pm,57.0,R:12_P:Rory Sloane,R:12_P:Rory Sloane_MI,1
102,Rory Sloane,580000,Crows,MI,16,Lions,Sat 3 Jul 12:00pm,76.18181818181819,R:16_P:Rory Sloane,R:16_P:Rory Sloane_MI,1
103,Rory Sloane,580000,Crows,MI,18,Eagles,Sat 17 Jul 12:00pm,71.81818181818181,R:18_P:Rory Sloane,R:18_P:Rory Sloane_MI,1
104,Rory Sloane,580000,Crows,MI,20,Hawks,Sat 31 Jul 12:00pm,77.81818181818181,R:20_P:Rory Sloane,R:20_P:Rory Sloane_MI,1
105,Rory Sloane,580000,Crows,MI,21,Power,Sat 7 Aug 12:00pm,85.0,R:21_P:Rory Sloane,R:21_P:Rory Sloane_MI,1
106,Rory Sloane,580000,Crows,MI,2,Swans,Sat 27 Mar 1:45pm,84.58333333333333,R:2_P:Rory Sloane,R:2_P:Rory Sloane_MI,1
107,Rory Sloane,580000,Crows,MI,4,Kangaroos,Sun 11 Apr 1:10pm,59.63636363636363,R:4_P:Rory Sloane,R:4_P:Rory Sloane_MI,1
108,Rory Sloane,580000,Crows,MI,6,Hawks,Sun 25 Apr 12:30pm,77.81818181818181,R:6_P:Rory Sloane,R:6_P:Rory Sloane_MI,1
109,Rory Sloane,580000,Crows,MI,8,Power,Sat 8 May 12:00pm,85.0,R:8_P:Rory Sloane,R:8_P:Rory Sloane_MI,1
110,Rory Sloane,580000,Crows,MI,9,Eagles,Sat 15 May 12:00pm,71.81818181818181,R:9_P:Rory Sloane,R:9_P:Rory Sloane_MI,1
111,Rory Sloane,580000,Crows,MI,11,Tigers,Sat 29 May 12:00pm,80.9090909090909,R:11_P:Rory Sloane,R:11_P:Rory Sloane_MI,1
112,Rory Sloane,580000,Crows,MI,13,Saints,Sat 12 Jun 12:00pm,56.09090909090909,R:13_P:Rory Sloane,R:13_P:Rory Sloane_MI,1
113,Rory Sloane,580000,Crows,MI,15,Blues,Sat 26 Jun 12:00pm,88.81818181818181,R:15_P:Rory Sloane,R:15_P:Rory Sloane_MI,1
114,Rory Sloane,580000,Crows,MI,17,Bombers,Sat 10 Jul 12:00pm,60.27272727272727,R:17_P:Rory Sloane,R:17_P:Rory Sloane_MI,1
