,id,pl_pos_id,Round,Position,is_selected
151,R:3_P:Adam Tomlinson,R:3_P:Adam Tomlinson_MI,3,MI,1
152,R:18_P:Adam Tomlinson,R:18_P:Adam Tomlinson_DE,18,DE,1
153,R:5_P:Adam Tomlinson,R:5_P:Adam Tomlinson_DE,5,DE,1
154,R:18_P:Adam Tomlinson,R:18_P:Adam Tomlinson_MI,18,MI,1
155,R:5_P:Adam Tomlinson,R:5_P:Adam Tomlinson_MI,5,MI,1
156,R:20_P:Adam Tomlinson,R:20_P:Adam Tomlinson_DE,20,DE,1
157,R:11_P:Adam Tomlinson,R:11_P:Adam Tomlinson_DE,11,DE,1
158,R:20_P:Adam Tomlinson,R:20_P:Adam Tomlinson_MI,20,MI,1
159,R:11_P:Adam Tomlinson,R:11_P:Adam Tomlinson_MI,11,MI,1
160,R:22_P:Adam Tomlinson,R:22_P:Adam Tomlinson_DE,22,DE,1
161,R:10_P:Adam Tomlinson,R:10_P:Adam Tomlinson_DE,10,DE,1
162,R:22_P:Adam Tomlinson,R:22_P:Adam Tomlinson_MI,22,MI,1
163,R:10_P:Adam Tomlinson,R:10_P:Adam Tomlinson_MI,10,MI,1
164,R:2_P:Adam Tomlinson,R:2_P:Adam Tomlinson_DE,2,DE,1
165,R:2_P:Adam Tomlinson,R:2_P:Adam Tomlinson_MI,2,MI,1
166,R:7_P:Adam Tomlinson,R:7_P:Adam Tomlinson_DE,7,DE,1
167,R:7_P:Adam Tomlinson,R:7_P:Adam Tomlinson_MI,7,MI,1
168,R:15_P:Adam Tomlinson,R:15_P:Adam Tomlinson_DE,15,DE,1
169,R:15_P:Adam Tomlinson,R:15_P:Adam Tomlinson_MI,15,MI,1
170,R:17_P:Adam Tomlinson,R:17_P:Adam Tomlinson_DE,17,DE,1
171,R:17_P:Adam Tomlinson,R:17_P:Adam Tomlinson_MI,17,MI,1
172,R:19_P:Adam Tomlinson,R:19_P:Adam Tomlinson_DE,19,DE,1
173,R:19_P:Adam Tomlinson,R:19_P:Adam Tomlinson_MI,19,MI,1
174,R:21_P:Adam Tomlinson,R:21_P:Adam Tomlinson_DE,21,DE,1
175,R:21_P:Adam Tomlinson,R:21_P:Adam Tomlinson_MI,21,MI,1
176,R:1_P:James Harmes,R:1_P:James Harmes_DE,1,DE,1
177,R:4_P:James Harmes,R:4_P:James Harmes_DE,4,DE,1
178,R:23_P:James Harmes,R:23_P:James Harmes_DE,23,DE,1
179,R:6_P:James Harmes,R:6_P:James Harmes_DE,6,DE,1
180,R:8_P:James Harmes,R:8_P:James Harmes_DE,8,DE,1
181,R:9_P:James Harmes,R:9_P:James Harmes_DE,9,DE,1
182,R:12_P:James Harmes,R:12_P:James Harmes_DE,12,DE,1
183,R:13_P:James Harmes,R:13_P:James Harmes_DE,13,DE,1
184,R:16_P:James Harmes,R:16_P:James Harmes_DE,16,DE,1
185,R:3_P:James Harmes,R:3_P:James Harmes_DE,3,DE,1
186,R:18_P:James Harmes,R:18_P:James Harmes_DE,18,DE,1
187,R:5_P:James Harmes,R:5_P:James Harmes_DE,5,DE,1
188,R:20_P:James Harmes,R:20_P:James Harmes_DE,20,DE,1
189,R:11_P:James Harmes,R:11_P:James Harmes_DE,11,DE,1
190,R:22_P:James Harmes,R:22_P:James Harmes_DE,22,DE,1
191,R:10_P:James Harmes,R:10_P:James Harmes_DE,10,DE,1
192,R:2_P:James Harmes,R:2_P:James Harmes_DE,2,DE,1
193,R:7_P:James Harmes,R:7_P:James Harmes_DE,7,DE,1
194,R:15_P:James Harmes,R:15_P:James Harmes_DE,15,DE,1
195,R:17_P:James Harmes,R:17_P:James Harmes_DE,17,DE,1
196,R:19_P:James Harmes,R:19_P:James Harmes_DE,19,DE,1
197,R:21_P:James Harmes,R:21_P:James Harmes_DE,21,DE,1
198,R:1_P:Jake Lever,R:1_P:Jake Lever_DE,1,DE,1
199,R:4_P:Jake Lever,R:4_P:Jake Lever_DE,4,DE,1
200,R:23_P:Jake Lever,R:23_P:Jake Lever_DE,23,DE,1
201,R:6_P:Jake Lever,R:6_P:Jake Lever_DE,6,DE,1
202,R:8_P:Jake Lever,R:8_P:Jake Lever_DE,8,DE,1
203,R:9_P:Jake Lever,R:9_P:Jake Lever_DE,9,DE,1
204,R:12_P:Jake Lever,R:12_P:Jake Lever_DE,12,DE,1
205,R:13_P:Jake Lever,R:13_P:Jake Lever_DE,13,DE,1
206,R:16_P:Jake Lever,R:16_P:Jake Lever_DE,16,DE,1
207,R:3_P:Jake Lever,R:3_P:Jake Lever_DE,3,DE,1
208,R:18_P:Jake Lever,R:18_P:Jake Lever_DE,18,DE,1
209,R:5_P:Jake Lever,R:5_P:Jake Lever_DE,5,DE,1
210,R:20_P:Jake Lever,R:20_P:Jake Lever_DE,20,DE,1
211,R:11_P:Jake Lever,R:11_P:Jake Lever_DE,11,DE,1
212,R:22_P:Jake Lever,R:22_P:Jake Lever_DE,22,DE,1
213,R:10_P:Jake Lever,R:10_P:Jake Lever_DE,10,DE,1
214,R:2_P:Jake Lever,R:2_P:Jake Lever_DE,2,DE,1
215,R:7_P:Jake Lever,R:7_P:Jake Lever_DE,7,DE,1
216,R:15_P:Jake Lever,R:15_P:Jake Lever_DE,15,DE,1
217,R:17_P:Jake Lever,R:17_P:Jake Lever_DE,17,DE,1
218,R:19_P:Jake Lever,R:19_P:Jake Lever_DE,19,DE,1
219,R:21_P:Jake Lever,R:21_P:Jake Lever_DE,21,DE,1
220,R:1_P:Jay Lockhart,R:1_P:Jay Lockhart_DE,1,DE,1
221,R:4_P:Jay Lockhart,R:4_P:Jay Lockhart_DE,4,DE,1
222,R:23_P:Jay Lockhart,R:23_P:Jay Lockhart_DE,23,DE,1
223,R:6_P:Jay Lockhart,R:6_P:Jay Lockhart_DE,6,DE,1
224,R:8_P:Jay Lockhart,R:8_P:Jay Lockhart_DE,8,DE,1
225,R:9_P:Jay Lockhart,R:9_P:Jay Lockhart_DE,9,DE,1
226,R:12_P:Jay Lockhart,R:12_P:Jay Lockhart_DE,12,DE,1
227,R:13_P:Jay Lockhart,R:13_P:Jay Lockhart_DE,13,DE,1
228,R:16_P:Jay Lockhart,R:16_P:Jay Lockhart_DE,16,DE,1
229,R:3_P:Jay Lockhart,R:3_P:Jay Lockhart_DE,3,DE,1
230,R:18_P:Jay Lockhart,R:18_P:Jay Lockhart_DE,18,DE,1
231,R:5_P:Jay Lockhart,R:5_P:Jay Lockhart_DE,5,DE,1
232,R:20_P:Jay Lockhart,R:20_P:Jay Lockhart_DE,20,DE,1
233,R:11_P:Jay Lockhart,R:11_P:Jay Lockhart_DE,11,DE,1
234,R:22_P:Jay Lockhart,R:22_P:Jay Lockhart_DE,22,DE,1
235,R:10_P:Jay Lockhart,R:10_P:Jay Lockhart_DE,10,DE,1
236,R:2_P:Jay Lockhart,R:2_P:Jay Lockhart_DE,2,DE,1
237,R:7_P:Jay Lockhart,R:7_P:Jay Lockhart_DE,7,DE,1
238,R:15_P:Jay Lockhart,R:15_P:Jay Lockhart_DE,15,DE,1
239,R:17_P:Jay Lockhart,R:17_P:Jay Lockhart_DE,17,DE,1
240,R:19_P:Jay Lockhart,R:19_P:Jay Lockhart_DE,19,DE,1
241,R:21_P:Jay Lockhart,R:21_P:Jay Lockhart_DE,21,DE,1
242,R:1_P:Joel Smith,R:1_P:Joel Smith_DE,1,DE,1
243,R:4_P:Joel Smith,R:4_P:Joel Smith_DE,4,DE,1
244,R:23_P:Joel Smith,R:23_P:Joel Smith_DE,23,DE,1
245,R:6_P:Joel Smith,R:6_P:Joel Smith_DE,6,DE,1
246,R:8_P:Joel Smith,R:8_P:Joel Smith_DE,8,DE,1
247,R:9_P:Joel Smith,R:9_P:Joel Smith_DE,9,DE,1
248,R:12_P:Joel Smith,R:12_P:Joel Smith_DE,12,DE,1
249,R:13_P:Joel Smith,R:13_P:Joel Smith_DE,13,DE,1
250,R:16_P:Joel Smith,R:16_P:Joel Smith_DE,16,DE,1
