,Name,Price,Team 1,Position,Round,Team 2,Score,id,pl_pos_id,is_selected
86,Rory Sloane,580000,Crows,MI,9,Eagles,71.81818181818181,R:9_P:Rory Sloane,R:9_P:Rory Sloane_MI,1
87,Rory Sloane,580000,Crows,MI,11,Tigers,80.9090909090909,R:11_P:Rory Sloane,R:11_P:Rory Sloane_MI,1
88,Rory Sloane,580000,Crows,MI,13,Saints,56.09090909090909,R:13_P:Rory Sloane,R:13_P:Rory Sloane_MI,1
89,Rory Sloane,580000,Crows,MI,15,Blues,88.81818181818181,R:15_P:Rory Sloane,R:15_P:Rory Sloane_MI,1
90,Rory Sloane,580000,Crows,MI,17,Bombers,60.27272727272727,R:17_P:Rory Sloane,R:17_P:Rory Sloane_MI,1
91,Rory Sloane,580000,Crows,MI,19,Bulldogs,75.81818181818181,R:19_P:Rory Sloane,R:19_P:Rory Sloane_MI,1
92,Rory Sloane,580000,Crows,MI,22,Demons,81.45454545454545,R:22_P:Rory Sloane,R:22_P:Rory Sloane_MI,1
93,Todd Goldstein,760000,Kangaroos,RU,1,Power,96.54545454545455,R:1_P:Todd Goldstein,R:1_P:Todd Goldstein_RU,1
94,Todd Goldstein,760000,Kangaroos,RU,3,Bulldogs,75.45454545454545,R:3_P:Todd Goldstein,R:3_P:Todd Goldstein_RU,1
95,Todd Goldstein,760000,Kangaroos,RU,4,Crows,105.54545454545455,R:4_P:Todd Goldstein,R:4_P:Todd Goldstein_RU,1
96,Todd Goldstein,760000,Kangaroos,RU,22,Swans,78.63636363636364,R:22_P:Todd Goldstein,R:22_P:Todd Goldstein_RU,1
97,Todd Goldstein,760000,Kangaroos,RU,2,Suns,92.63636363636364,R:2_P:Todd Goldstein,R:2_P:Todd Goldstein_RU,1
98,Todd Goldstein,760000,Kangaroos,RU,5,Cats,91.63636363636364,R:5_P:Todd Goldstein,R:5_P:Todd Goldstein_RU,1
99,Todd Goldstein,760000,Kangaroos,RU,21,Tigers,92.36363636363636,R:21_P:Todd Goldstein,R:21_P:Todd Goldstein_RU,1
100,Todd Goldstein,760000,Kangaroos,RU,23,Crows,105.54545454545455,R:23_P:Todd Goldstein,R:23_P:Todd Goldstein_RU,1
101,Ben Cunnington,503000,Kangaroos,MI,3,Bulldogs,75.36363636363636,R:3_P:Ben Cunnington,R:3_P:Ben Cunnington_MI,1
102,Ben Cunnington,503000,Kangaroos,MI,4,Crows,72.72727272727273,R:4_P:Ben Cunnington,R:4_P:Ben Cunnington_MI,1
103,Ben Cunnington,503000,Kangaroos,MI,18,Bombers,65.36363636363636,R:18_P:Ben Cunnington,R:18_P:Ben Cunnington_MI,1
104,Ben Cunnington,503000,Kangaroos,MI,20,Cats,65.63636363636364,R:20_P:Ben Cunnington,R:20_P:Ben Cunnington_MI,1
105,Ben Cunnington,503000,Kangaroos,MI,22,Swans,61.18181818181818,R:22_P:Ben Cunnington,R:22_P:Ben Cunnington_MI,1
106,Ben Cunnington,503000,Kangaroos,MI,5,Cats,65.63636363636364,R:5_P:Ben Cunnington,R:5_P:Ben Cunnington_MI,1
107,Ben Cunnington,503000,Kangaroos,MI,16,Bulldogs,75.36363636363636,R:16_P:Ben Cunnington,R:16_P:Ben Cunnington_MI,1
108,Ben Cunnington,503000,Kangaroos,MI,17,Eagles,69.81818181818181,R:17_P:Ben Cunnington,R:17_P:Ben Cunnington_MI,1
109,Ben Cunnington,503000,Kangaroos,MI,19,Blues,62.54545454545455,R:19_P:Ben Cunnington,R:19_P:Ben Cunnington_MI,1
110,Ben Cunnington,503000,Kangaroos,MI,21,Tigers,72.36363636363636,R:21_P:Ben Cunnington,R:21_P:Ben Cunnington_MI,1
111,Ben Cunnington,503000,Kangaroos,MI,23,Crows,72.72727272727273,R:23_P:Ben Cunnington,R:23_P:Ben Cunnington_MI,1
112,Patrick Ryder,575000,Saints,RU,9,Cats,68.2,R:9_P:Patrick Ryder,R:9_P:Patrick Ryder_RU,1
113,Patrick Ryder,575000,Saints,RU,11,Kangaroos,67.45454545454545,R:11_P:Patrick Ryder,R:11_P:Patrick Ryder_RU,1
114,Patrick Ryder,575000,Saints,RU,12,Swans,66.3,R:12_P:Patrick Ryder,R:12_P:Patrick Ryder_RU,1
115,Patrick Ryder,575000,Saints,RU,13,Crows,75.7,R:13_P:Patrick Ryder,R:13_P:Patrick Ryder_RU,1
